,comment
15425,"fresh or 6 large carrots, grated"
15426,"4-inch, coarsely chopped"
15427,rinsed and cut into large pieces
15428,"whole, cloves separated, skin intact"
15429,"large, quartered"
15430,"alaskan king or other, each about 6 ounces"
15431,for grilling or sauteing
15432,chopped or roughly cracked
15433,"medium-sized baking, peeled"
15434,"mixture of green and yellow, ends trimmed, and sliced at an angle into 1/2-inch pieces"
15435,"medium-sized, diced"
15436,or coffee powder
15437,or semisweet chocolate
15438,or 1/4 teaspoon bitter almond extract
15439,thin slices of fresh sprigs for garnish
15440,or 3 tablespoons brandy or cognac
15441,"medium, well chilled"
15442,fresh or 1 1/2 cups frozen corn kernels
15443,"or 3 ounces chopped, ready cut"
15444,large cleaned soft-shell
15445,"fresh, torn"
15446,"medium-size white, minced"
15447,"fresh hearts of, trimmed weight, or 1 can hearts of, drained and rinsed, 8 ounces drained weight"
15448,"loosely packed fresh (preferably the tiny bush leaves, but if they aren't available, then the smallest leaves, finely shredded)"
15449,"crumbled, dry"
15450,"fresh, washed, with 1/4-inch stem attached"
15451,"fresh, deveined, seeded and minced"
15452,or crushed canned tomatoes in a puree
15453,"small fresh, deveined, seeded and minced"
15454,in 1/4-inch slices
15455,peeled and cut in 1/2-inch cubes
15456,peeled and cut in 1/2-inch cubes (or breadfruit or potatoes)
15457,washed and diced in 1/2-inch pieces
15458,peeled and cut in 1-inch cubes
15459,to 1 1/2
15460,"whole, beaten lightly"
15461,peeled and diced in 1/2-inch pieces
15462,"small fillets, cut in chunks (save all bones, heads and tails and combine with above)"
15463,"small on bone - red snapper, butterfish, etc. - cut into 3-inch chunks, with head and tail"
15464,crumbled dry
15465,2 of them sliced
15466,"cored, seeded and coarsely diced"
15467,fresh-ground to taste
15468,packed (no stems)
15469,"mahogany or littleneck, scrubbed"
15470,steamed (optional)
15471,"long, cored, seeded and sliced thin"
15472,dissolved in 1/3 cup dry white wine
15473,"littleneck or mahogany, scrubbed"
15474,fresh-ground to taste
15475,littleneck on half shell
15476,peeled and cut in wedges
15477,"like jalapeno, with seeds, chopped"
15478,melted for greasing pan
15479,"individual small, 4 1/4 by 2 1/2 by 2 inches"
15480,flour for dusting baking pans
15481,"cleaned, trimmed and chopped (about 3 cups)"
15482,or other meaty hard crabs
15483,"medium sweet (about 2 pounds), peeled and cubed (about 5 cups)"
15484,"(1 1/2 pounds total), peeled and chopped"
15485,1-14 1/2-ounce can diced with liquid
15486,"medium, trimmed and sliced crosswise"
15487,"like jalapeno, with seeds, minced"
15488,minced like jalapeno
15489,minced (white section plus tender leaves)
15490,"green-leaf, shredded"
15491,"greens from, chopped"
15492,"golden, peeled and cut into 1/4-inch dice (about 3 cups)"
15493,"fresh, shelled to make 1 cup"
15494,"about 1 pound, quartered lengthwise and cut crosswise in 1/4-inch slices"
15495,"large, cut in 1/2-inch dice"
15496,broken into a few pieces
15497,"large, sliced in half lengthwise"
15498,enough to make 3 cups of julienned leaves
15499,preferably sheep's milk ricotta
15500,"stemmed, rinsed and coarsely chopped"
15501,"ribs, diced"
15502,"sliced spring, including white and green portions"
15503,"cooked medium-size, about 1/3 pound, or 1/2 cup leftover mashed potato"
15504,6-ounce wedge of
15505,"ripe, about ripe plum tomatoes, about 1/2 pound"
15506,"medium-size bottoms, cooked, (see instructions for preparing them)"
15507,melted for greasing a pan
15508,"lightly toasted, skinned and coarsely chopped"
15509,"firm ripe, peeled, cored and cut into eighths lengthwise"
15510,plus 1/4 cup for kneading
15511,"plus 1 tablespoon, melted"
15512,"large very ripe, halved"
15513,"free-range, about 3 1/2 to 4 pounds each"
15514,"extra-large, lightly beaten"
15515,ground toasted
15516,rinsed with stems removed
15517,"2 5-ounce logs of, cut into thirds crosswise"
15518,raw cane to taste
15519,trimmed and cut in 3/4-inch lengths
15520,peeled (see note)
15521,"mixed (portobello, shiitake and cremini), stems removed, cut into 1-inch cubes"
15522,grapeseed or extra virgin
15523,trimmed and cut into eighths
15524,russian or walnut raisin bread
15525,thinly sliced (white part and one inch of green)
15526,"peeled, cut into bite-size pieces (about 4 cups)"
15527,"large yukon gold, peeled and cut into 1-inch chunks"
15528,"large peruvian, peeled and cut into 1-inch chunks"
15529,"medium peeled, cut into bite-size pieces (about a cup)"
15530,"peeled, cut into bite-size pieces (about a cup)"
15531,1 6 to 8 pound hubbard
15532,to make 1 1/2 tablespoons chopped
15533,no-salt-added puree
15534,available at specialty markets
15535,raw cane
15536,"mixed whole, or 14 ounces chopped ready-cut peppers (4 cups)"
15537,low-fat spicy or turkey sausage
15538,"finely chopped, pealed fresh"
15539,"sliced, trimmed (about 3 pounds)"
15540,(packed) light
15541,or marjoram or pinch of dried
15542,or iceberg lettuce
15543,each 6 to 8 ounces
15544,"1 can (about 13 ounces) beef broth, or 1 1/2 cups meat or chicken stock"
15545,small peeled and roughly chopped
15546,"4 8-ounce pieces black, with skin"
15547,"of paradise (available at fairway and specialty food stores), lightly crushed"
15548,"sliced, or 3 tablespoons chives and 1 clove minced garlic"
15549,5-inch
15550,"thinly sliced, diagonally"
15551,cut into thin matchsticks
15552,"trimmed of roots and woody ends, thinly sliced"
15553,jasmine
15554,"large peeled, crushed and chopped"
15555,with thighs
15556,strips of zest from
15557,"3/4-inch center-cut, bone in"
15558,"(any mix, such as cremini, chanterelle, blue foot and shiitake), sliced 1/4-inch thick"
15559,to yield 1/3 cup coarsely grated
15560,"(to yield 1/2 cup coarsely grated, tightly packed)"
15561,chopped or broken-up
15562,(1 stick)
15563,"small idaho, washington or yellow gold"
15564,"boneless, skinless, about 6 ounce each, or any white fleshed fish, like turbot"
15565,"small pitted, chopped coarse"
15566,"small, ripe about 1/2 pound"
15567,or dried chilies
15568,juice of or lime
15569,"whole or striped bass, head on"
15570,"long, seeded and coarsely chopped"
15571,"(or a large fish, split, head removed), about 2 to 2 1/2 pounds, 1 1/2 inches thick"
15572,shelled and the meat halved
15573,"dried, soaked in hot water until soft, stems removed and discarded, caps sliced into strips"
15574,"medium-sized, peeled and sliced into slivers"
15575,"1 3-pound, skinned and trimmed of excess fat"
15576,"cremini, stemmed"
15577,"portobello, stemmed"
15578,"medium, peeled and cut into 1/2-inch-thick rounds"
15579,"medium, peeled seeded and cut lengthwise into 1/2-inch-thick slices"
15580,"medium-small, each cut into 8 wedges"
15581,"1 1/4-inch-thick slice, diced small"
15582,3 1 1/2-pound
15583,"cored, deribbed and cut into thin strips"
15584,"(see recipe), cut into large chunks"
15585,"medium, peeled and cut into fine julienne"
15586,"halved, cored and cut lengthwise into 1/8-inch-thick slices"
15587,"warm smoked (see recipe), cut on the diagonal into 1/4-inch-thick strips"
15588,cored and halved lengthwise
15589,"split, skinned but not boned"
15590,2 8-ounce pork chops
15591,"in 4 large, thin slices"
15592,or 4 slices bacon
15593,"large, each one halved to make two slim disks"
15594,6-inch fresh
15595,"ripe, preferably black"
15596,"scrubbed, beards and barnacles removed"
15597,"grated, peeled fresh"
15598,"trimmed, peeled and cut in 1/4-inch rounds"
15599,"chopped fresh, such as mint, dill or parsley"
15600,trimmed and quartered crosswise (about 1 1/3 cups)
15601,cut into 1-inch-thick matchsticks (about 1 1/3 cups)
15602,wiped clean with a damp cloth and thinly sliced lengthwise (about 2 cups)
15603,"boneless or tuna steak, about 1/2-inch thick"
15604,kosher to taste
15605,1/2-inch thick
15606,"steak, 1-inch thick"
15607,"canned, drained, squeezed and coarsely chopped"
15608,"trimmed, white and green parts thinly sliced"
15609,"skinned striped fillet, 1/2-inch thick"
15610,peeled and slivered fresh
15611,"napa or bok choy, shredded (about 8 cups)"
15612,kernels removed (3 cups)
15613,"boned shoulder of spring, about 3 1/2 pounds, rolled and tied"
15614,"fresh, or 1 teaspoon dried thyme"
15615,"(about 1 pound), cut into 1-inch pieces (about 2 1/2 cups), or the tomato ''lids'' and insides from the blackfish-stuffed tomatoes"
15616,"small, coarsely chopped, with seeds removed (1 teaspoon), optional"
15617,peeled and sliced (about 1 1/2 tablespoons)
15618,"(about 6 ounces), peeled and cut into 1/2-inch dice (about 1 cup"
15619,"about 12 ounces), peeled and cut into 1-inch dice (2 cups"
15620,hot italian (about 1 pound)
15621,coarsely ground sweet italian (about 1 1/2 pounds)
15622,small white navy (pea)
15623,corn or olive
15624,lea & perrins
15625,cleaned and minced (1/2 cup)
15626,peeled and finely chopped (1 teaspoon)
15627,cleaned and cut into 1/4-inch dice (1/2 cup)
15628,"small (about 6 ounces), peeled, seeded, and cut into 1/4-inch dice (1 cup)"
15629,medium-to-large ripe (about 2 1/2 pounds)
15630,"fresh, thick fillets"
15631,"loose coarsely shredded (other herbs can be used instead, depending on availability)"
15632,ripe (about 10 ounces)
15633,peeled and chopped (about 1 teaspoon)
15634,french baguette-type of (about 10 ounces)
15635,"chopped (a mixture of parsley, chervil, tarragon and chives)"
15636,"large (8 ounces), peeled, seeded and coarsely chopped (about 1 cup)"
15637,minced (about 3 tablespoons)
15638,dashi or chicken
15639,or 1 tablespoon honey
15640,"medium, peeled and shredded"
15641,"fresh, flageolets, peas or black-eyed peas"
15642,"diced, shrimp or shucked small clams (canned are fine), optional"
15643,large or 10 small dried
15644,"finely chopped fresh, preferably purple opal basil"
15645,"medium, sliced paper thin"
15646,low-fat or non-fat
15647,peeled and coarsely grated
15648,"chopped dry-roasted, optional"
15649,"new of uniform size, scrubbed"
15650,"minced or dried red pepper flakes, optional"
15651,"peeled and sectioned, tough white pith removed, each section cut in half"
15652,"or mesclun, washed and dried"
15653,(fish sauce) or soy sauce
15654,"leftover roasted, torn into bite-size pieces"
15655,"small, like baby romaine, boston or mesclun"
15656,frozen baby green
15657,"(1 3/4 sticks) cold, cut into pieces"
15658,"ripe but firm, peeled and cored but left whole"
15659,ripe but firm bartlett or bosc
15660,"medium, about 12 ounces each, cut in half the long way"
15661,"as needed, about 3 cups"
15662,about cleaned
15663,cut in half along its equator
15664,"good, or to taste"
15665,"waxy, peeled and cut into 1/4-inch-thick slices"
15666,use button mushrooms mixed with a tablespoon or 2 of reconstituted porcini
15667,"medium, trimmed of hard green parts, roughly chopped and rinsed"
15668,"large, cleaned"
15669,"smoked or duck, cut into 1/4-inch cubes"
15670,"coarsely ground, plus more to taste"
15671,"ripe, peeled, cored and cut into quarters"
15672,well-aged
15673,"grape seed or other neutral oil, or clarified butter"
15674,"4 6-ounce, skinned fillets"
15675,seed or ground cumin
15676,whole or ground
15677,or ground coriander
15678,or other neutral oil or clarified butter
15679,(roughly) dried
15680,"finely shredded, leaves and all"
15681,plain white or portobello mushrooms
15682,"fresh or frozen to yield, coarsely grated"
15683,small kirby
15684,"cooked, shelled"
15685,jalapeno or serrano
15686,enough fresh or frozen to yield coarsely grated
15687,of a small
15688,or sake
15689,"fresh, smashed lightly with a flat edge of a knife"
15690,"whole, preferably with feet, weighing 4 to 4 1/2 pounds"
15691,to soak mushrooms
15692,chinese dried
15693,or homemade chicken broth
15694,or safflower oil
15695,or chinese cinnamon bark
15696,or white vermouth
15697,"2 3 1/2- 4-pound, each cut into 8 to 10 pieces, or 6 to 7 pounds of chicken parts with bones in and skin on"
15698,cracked and wrapped in cheesecloth
15699,"papery coating removed, cut in half crosswise"
15700,medium split in half lengthwise
15701,"medium-ripe, cut in thick slices"
15702,"large, peeled and cut in thick slices"
15703,about 1-inch thick
15704,"fresh, lightly crushed"
15705,each 1-inch thick
15706,whole firm ripe
15707,not self-rising
15708,"red, separated into rings"
15709,"japanese, cut into 1/2-inch slices lengthwise but left attached at the stem"
15710,pimento-filled
15711,"large, washed"
15712,large stuck with 3 whole each
15713,"1 8-pound, whole, with head on, cleaned, gilled and gutted with the center blood vein and sound removed"
15714,"1/2 2-ounce can fillets, rinsed and patted dry"
15715,"1 6-ounce can imported packed in olive oil, drained"
15716,preferably thick and homemade with a fruity olive oil or a combination of olive and vegetable oils
15717,steamed and shelled (about 1of mussel meat)
15718,"thin, cleaned, steamed until crisp-tender and cut into 1-inch pieces"
15719,"small, drained"
15720,"flat-leaf, coarse stems removed and finely chopped"
15721,coarse or kosher
15722,"red, scrubbed"
15723,"large, well beaten"
15724,shortening
15725,2 1-pound tenderloins
15726,young green fresh
15727,"(kelp), optional"
15728,sake or dry sherry
15729,low-sodium japanese
15730,short-grain white
15731,shelled fresh or frozen (edamame)
15732,"or more, mixed according to package instructions to yield at least 2 cups of dashi broth"
15733,"boiling, optional"
15734,five to six pounds
15735,peeled and cut in slivers
15736,steaks
15737,or champagne vinegar
15738,fresh crumbs from a dense like tuscan bread
15739,"half-and-half or milk, approximately"
15740,"well-seasoned, approximately"
15741,half of them peeled and coarsely chopped
15742,"whole, cloves from 2 1/2 heads peeled"
15743,fresh to yield 2 tablespoons chopped
15744,"whole or 14 ounces chopped, ready-cut zucchini (2 2/3 to 3 cups)"
15745,"or 7 ounces chopped, ready-cut pepper (1 2/3 cups)"
15746,or 1 large halibut steak
15747,"seeded and finely minced, optional"
15748,or yams
15749,for the pepper
15750,"6 ounces each, skin on, trimmed of fat"
15751,"snipped, plus more for garnish"
15752,"medium spanish, peeled and diced"
15753,"fillets, skinned and boned"
15754,preferably kosher for passover
15755,"cleaned and thinly sliced button, crimini or shiitake (or a combination)"
15756,"boneless, skinless halves (about 1 1/2 pounds), pounded to 1/4-inch thickness"
15757,"8-ounce, skin on"
15758,"white and light green parts only, well rinsed and finely chopped"
15759,"yellow (about 8 medium), peeled, halved and thinly sliced"
15760,cut into 2-inch chunks
15761,sliced into 3 pieces
15762,cut into 2-to 3-inch pieces by the butcher
15763,small firm
15764,"small red new, about 1 pound"
15765,with skin
15766,"granny smith, peeled, cored and finely chopped"
15767,or vegetable oil or both
15768,roasted and seeded
15769,cut in one inch cubes
15770,picked over and rinsed
15771,good quality fragrant extra-virgin
15772,or juices from the meat loaf
15773,"1 28-ounce can, well drained"
15774,warm low-fat
15775,"large idaho, peeled and cut in eighths"
15776,"basic lean (optional), or ketchup"
15777,"white of, beaten"
15778,"packed, fine fresh white or whole wheat"
15779,"sharp, grated"
15780,"george jones hot country-style (see note) or any other spicy bulk pork sausage, uncooked"
15781,small like orzo or small shells
15782,like spinach or kale
15783,in one chunk or slice
15784,(about 6 ounces)
15785,monin
15786,the st. regis uses sacramento tomato juice.
15787,chilled heavy
15788,cooked (fresh or canned)
15789,peeled and cut into 1/2-inch dice (about 2 small apples)
15790,finely chopped (about 25 cookies)
15791,"thick sliced, cut into 1/2-inch pieces"
15792,cut into cubes about 1-inch-by-1-inch-by- 1/2-inch
15793,"boiled, cut into 1/8-inch cubes"
15794,"peeled, cored, cut into 1/4-inch-thick slices and tossed with 1 tablespoon lemon juice"
15795,1 5-to-6-pound
15796,"fresh, bruised"
15797,"dried cannellini or flageolet, soaked overnight in 1 gallon cold water"
15798,"coarsely chopped, drained, canned"
15799,"cooking (mustard, collard, swiss chard, kale, etc.)"
15800,light or vegetable oil
15801,1/3 ounces
15802,"medium-size, trimmed, peeled and julienned"
15803,"fresh chanterelle or white, brushed clean"
15804,"very fresh, tough outer layers removed"
15805,or sour cream or light sour cream
15806,basmati or jasmine
15807,"sweet, shucked"
15808,warm late
15809,clover
15810,"seasoned with cayenne, optional"
15811,"canned, mashed"
15812,"fresh, from about 3 cobs, husks reserved"
15813,"toasted, optional"
15814,"cooked (approximately 1/3 pound), chopped coarsely"
15815,whole peeled or 4 ounces chopped carrots ( 3/4 to 1 cup)
15816,"crushed, drained of juice"
15817,"or 1 ounce of flying fish roe can be substituted, or 1/2 ounce uni, which is sea urchin roe"
15818,stems trimmed and discarded
15819,"1 1/2-pound (striped bass or flounder may be substituted), cleaned, head and tail left on"
15820,"white part only, cut into 2-inch lengths"
15821,about 1/2 inch across and 4 inches long
15822,"sweet, cored, seeds removed and finely chopped"
15823,"room temperature, plus additional for greasing pan"
15824,"blanched slivered, coarsely chopped"
15825,split in half lengthwise
15826,"cold, brewed"
15827,"cold, fresh"
15828,"frozen, defrosted slightly"
15829,"thinly sliced and lime, for garnish"
15830,"fresh, with stems"
15831,half-and-half or whole milk
15832,"thick-cut, about 4 slices"
15833,chopped white or yellow (about 1 large)
15834,"russet (about 1 medium potato), peeled, cut into 8 pieces"
15835,minced (about 1 ounce)
15836,(1/4 ounce) unflavored
15837,rinsed clean
15838,"baked fresh, pureed, or canned pumpkin puree"
15839,"10-inch, partly baked"
15840,baked 10-inch
15841,sweetened
15842,"packed, dark"
15843,for one 10-inch one-crust pie
15844,"unsweetened, preferably from granny smith apples"
15845,solid-pack canned or fresh pumpkin puree
15846,or 1 cup heavy cream and 3/4 cup milk
15847,"for a 10-inch one-crust pie, chilled"
15848,hulled (available in health food stores)
15849,"peeled and sliced, about 1/4 inch thick"
15850,like pinot noir
15851,"center-cut, well trimmed"
15852,"packed, plus 10 sprigs cilantro"
15853,"packed, plus 10 sprigs mint"
15854,substitute
15855,ripe pitted
15856,"whole, about 3 pounds, cleaned"
15857,"large, ripe"
15858,ripe medium broken into large chunks
15859,"thinly sliced, including green part"
15860,boneless skinless
15861,1 7-ounce package konriko wild pecan
15862,"(1 cup), toasted and coarsely chopped"
15863,"cooked or canned (garbanzos), drained"
15864,"zested of navel, cut into thin strips, for garnish"
15865,"navel, peeled, thinly sliced and cut in half, for garnish"
15866,to grease a 5-cup ring mold
15867,"whole snap peas, strings removed"
15868,"(about 6 ounces), cut into 1/2-inch rings"
15869,long island
15870,"baked, smoked over hard wood (or any other ham that has not been cured or baked with sweet ingredients), cut into 3/4-inch cubes (including rind)"
15871,"1 1 1/4-pound live maine, cut into 10 pieces (cut in half length-wise down the middle, remove claws and cut each half into 4 pieces)"
15872,texmati (see note)
15873,"canned or homemade, heated to boiling"
15874,"ripe, peeled, seeded and roughly chopped"
15875,"peeled, seeded, membranes removed and pureed"
15876,"dried long purple (ancho), pulverized and seeds removed, optional"
15877,small breakfast (8 ounces total)
15878,california virgin (or other strong-flavored olive oil)
15879,cut in thin rings halfway up the green tops
15880,in slices 3 inches by 1 inch by 1/4 inch thick
15881,prepared (see recipe)
15882,in 1/2-inch strips
15883,fresh cut into strips 1/2 inch wide and thick
15884,"hass, in strips 1/2 inch wide"
15885,"washed, dried and sliced lengthwise into strips"
15886,"(7 by 8 inches), cut into confetti"
15887,"carrot or daikon, or a combination, cut into matchsticks"
15888,"medium-thick, peeled"
15889,"salmon or whitefish, diced"
15890,kernels stripped from fresh
15891,fresh medium-size
15892,"2 one-pound fillets, skinned"
15893,"large, mashed and peeled"
15894,cleaned and sliced with stems attached
15895,"(2 1/2 pounds each), cut into serving pieces and skinned"
15896,"small, scrubbed and cut into 8 wedges each"
15897,"if they are frozen, place in a sieve under warm running water to defrost"
15898,"medium-size, scraped and cut into pieces about 2 by 1/4 by 1/4 inches"
15899,"small new, or 1 pound large cut in half or quartered"
15900,"stewing (neck or shoulder) with bones, cut into 1- or 2-inch chunks"
15901,"crystallized, optional"
15902,strong or 1 teaspoon instant coffee dissolved in 1/2 cup water
15903,"bittersweet or semisweet, chopped"
15904,melted and slightly cooled
15905,"zest, each about 2 1/2 inches by 1/2 inch"
15906,"large or other pears suitable for poaching, peeled, cut in two lengthwise and cored"
15907,"portobello caps, coarsely chopped"
15908,"cremini, finely sliced"
15909,"button, finely sliced"
15910,of to garnish
15911,"(about 2 medium) baking, peeled and cut into 1 1/2-inch chunks"
15912,(1/2 cup) dried porcini
15913,in small pats
15914,"of, 4 to 6 ounces each"
15915,"2-inch, preferably mexican canela or sri lankan, in pieces"
15916,dried mexican
15917,stale country
15918,"large, stem end removed"
15919,"3 half breasts, 3 thigh-legs"
15920,"in adobo, or to taste (available in most large supermarkets)"
15921,1/4-inch-thick of round country
15922,(2 cups) shelled
15923,"servings creamy, garlicky"
15924,"fresh, more for garnish"
15925,"red, green or yellow, cored, seeded and diced"
15926,"spanish, peeled, in 1 1/2-inch chunks"
15927,in 1 1/2-inch chunks
15928,"peeled, in 1 1/2-inch chunks"
15929,"12 to 16 ounces each, bones cracked"
15930,soft (optional)
15931,tiny pearl
15932,whole for garnish
15933,"toasted slices, or crackers"
15934,bragg to taste
15935,"fresh, chopped, plus small sprigs for garnish"
15936,"ripe, blanched, peeled and chopped"
15937,"chopped fresh, oregano or basil"
15938,or grouper
15939,large to yield 3 tablespoons minced shallots
15940,fresh packaged or 16 ounces fresh loose spinach
15941,alaskan king about 1 inch thick and about 5 ounces each (remove skin if desired)
15942,"or oregano, tied in cheesecloth"
15943,"purple, tops only, separated into small florets"
15944,trimmed to 6 inches long and cut crosswise in half
15945,"large portobello, thinly sliced"
15946,bragg (see note)
15947,skillet roasted
15948,"peeled, sliced english"
15949,prepared white (optional)
15950,thinly sliced crosswise
15951,fresh sour (or 1/2 cup fresh lime juice and 3 tablespoons fresh grapefruit juice)
15952,honey or brown deli-style
15953,light (or to taste)
15954,seeded minced
15955,yellow or dijon-style
15956,powdered for dusting the cakes
15957,strong black
15958,sifted powdered for garnish
15959,"softened, plus more for greasing"
15960,"fresh, in julienne"
15961,plus more for dusting the souffle dish
15962,"jerusalem, scrubbed"
15963,jerusalem
15964,large to yield 1/4 cup chopped
15965,"low-fat, preferably with italian seasoning"
15966,boiled in their skins
15967,cut in four or eight pieces
15968,juice small
15969,boiled or baked
15970,"canned, with their juice"
15971,"chopped canned, drained"
15972,for the zest
15973,no-salt-added beef or broth
15974,"assorted, like collard greens, beet greens, swiss chard"
15975,to yield 2 cups crumbs
15976,"or dill, or chervil, or rosemary or tarragon"
15977,or other good strong vinegar
15978,"whole, unpeeled and crushed"
15979,"finely chopped fresh like dill, parsley or basil"
15980,coarsely cracked
15981,additional ground
15982,"center-cut boneless with skin left intact, about 1 1/4 pounds"
15983,"red, about 1 1/2 pounds"
15984,or more as necessary
15985,1/3 coarsely grated
15986,mixed or mesclun or arugula
15987,"skinless, boneless halves, about 1 1/4 pounds"
15988,"heaping, rinsed and coarsely chopped"
15989,"rinsed, pitted and coarsely chopped"
15990,"small, smashed and peeled"
15991,"medium, peeled with a vegetable peeler and cut into 1-inch chunks"
15992,"oil-packed, minced"
15993,few grinds
15994,unseasoned dried
15995,"large, peeled, trimmed, halved and cut into 1/2-inch lengths"
15996,"medium, peeled and cut into 1-inch chunks"
15997,scant dried
15998,"mild or unseasoned, removed from casing"
15999,"small, seeded, de-ribbed and cut into 2-inch chunks"
16000,"large, seeded and cut into quarters"
16001,"medium, peeled and cut into 2-inch chunks"
16002,"medium, smashed and peeled"
16003,"medium flat-leaf, leaves only, chopped fine ( 1/3 cup)"
16004,"very small, outsides peeled with a vegetable peeler, trimmed and cut into 1/4-inch dice ( 2/3 cup)"
16005,"freshly ground, plus more for serving"
16006,"crisp-cooked, crumbled (optional)"
16007,"well-drained, chopped frozen (thawed) or blanched fresh leaves"
16008,"boneless, skinless halves (about 2 pounds)"
16009,"fingerling or other small, halved"
16010,"small red, thinly sliced"
16011,"sliced into 1/2-inch- thick rings, leafy green fronds reserved"
16012,"yellow, sliced into thin wedges"
16013,red sliced into thin wedges
16014,in one chunk
16015,"boneless, about 6 ounces each"
16016,"anise-flavored, like ricard"
16017,diced cut into 1/4-inch cubes
16018,"baby, peeled"
16019,crushed dried hot
16020,chinese coarsely chopped (about 5 cups)
16021,"shank, about 3 pounds"
16022,cut lengthwise into 3 strips
16023,"ripe fresh, peeled and cut into 1/2-inch cubes"
16024,"medium-sized, peeled"
16025,"finely chopped fresh, or any fresh herb of choice"
16026,"boneless, skinless, about 1 1/2"
16027,"cold, cut into pats"
16028,shells from
16029,about (include extras in case some break)
16030,"very ripe, washed, trimmed and sliced very thin"
16031,plus more
16032,"(1/4 pound), chopped"
16033,cloves peeled
16034,"spring, cut into 1/2-inch cubes"
16035,"edible, for garnish"
16036,mixed young
16037,"sliced, white part only"
16038,"fresh, peeled and diced"
16039,firm or extra-firm
16040,or curry powder
16041,"whole, about 6 pounds, scaled and cleaned"
16042,"branches and leaves from, chopped and left whole (bulbs reserved for another use)"
16043,or vegetarian broth (see micro-tip)
16044,"medium-size, smashed, peeled and minced"
16045,"loosely packed, chopped"
16046,"medium-size, cored, deribbed and cut in 1/4-inch dice"
16047,trimmed and cut in 1/2-inch pieces
16048,"large, smashed, peeled and minced"
16049,cut in 1/2-inch slices (optional)
16050,"medium-size, smashed, peeled and chopped"
16051,"medium-size, peeled and cut in 1/2-inch pieces"
16052,"medium-size, cut in half"
16053,or low-sodium canned
16054,"small, scrubbed, beards removed"
16055,4 4-ounce fillets
16056,"ripe, quartered and cut into 1/8-inch-thick slices"
16057,"baking, peeled, quartered and cut into 1/8-inch-thick slices"
16058,"medium, peeled, quartered and cut into 1/8-inch-thick slices"
16059,"if unavailable, red snapper can be substituted"
16060,"medium-sized, peeled and diced"
16061,peeled and cut into sections between the membranes
16062,"large, with seeds, minced"
16063,"scotch bonnet, halved"
16064,"packed, light-brown"
16065,"halved, cored and seeded"
16066,"ripe, peeled, seeded and halved"
16067,"large sweet, chopped"
16068,"extra-virgin, plus more for garnish"
16069,"young, about the size of an apricot (craft uses a combination of red, gold and chiogga beets), trimmed and scrubbed"
16070,"or 20 jumbo shrimp, rinsed"
16071,"or fresh lemon or lime juice, if necessary"
16072,"extra-virgin, plus more or lemon-flavored for sprinkling on langoustines"
16073,"country-style ribs, or boneless steaks cut from shoulder, about 3/4 to 1 inch thick"
16074,or 3/4 teaspoon broken stick cinnamon tied in cheesecloth
16075,cut in two the long way and sliced thin and pitted
16076,a few whole
16077,"washed and stemmed, the smaller the better"
16078,fresh about the size of an olive
16079,"ripe, about medium size"
16080,about medium size
16081,stemmed seedless (see note)
16082,"pitted greek or italian, coarsely chopped"
16083,2 cans (6 to 6 1/2 ounces each) imported in olive oil
16084,finely chopped ripe
16085,(or to taste)
16086,chicken or mushroom
16087,"fresh cremini, porcini or white mushrooms, or morels"
16088,wedge
16089,"corn, peanut or vegetable for deep-frying, about 8 cups"
16090,6 6-to-8-ounce fillets
16091,"about 1 pound each, without external surface fat"
16092,"2 14 1/2-ounce cans stewed, drained"
16093,"oil-cured, pitted"
16094,"(or chorizo), minced"
16095,"medium, white only, cut into thin strips, 2 inches long"
16096,good italian
16097,"large baking, peeled and sliced thin lengthwise"
16098,(or chorizo)
16099,"room temperature, cut into 12 pieces"
16100,"medium baking, peeled, cut in 2-inch chunks, boiled until tender and mashed with a fork"
16101,demerara or turbinado
16102,"(1 1/2 sticks) cold, cut into 1/2-inch cubes"
16103,seeded and slivered
16104,"small, slivered"
16105,"about 1 to 1 1/2 pounds, well trimmed"
16106,"minced, plus sprigs for garnish"
16107,preferably añejo
16108,split and warmed (optional)
16109,"elephant, peeled and blanched"
16110,"small, peeled and blanched"
16111,"large, seeded and cut in squares"
16112,"oregano, dill, tarragon, and/ or thyme (about 1/4 cup)"
16113,"lean, pork, lamb or venison suitable for grilling"
16114,juice from medium
16115,"or 3 sweet italian, meat removed from the casing and crumbled"
16116,kernels from 4
16117,"loosely packed, measured after washing, drying and shredding"
16118,coarsely chopped or torn
16119,"shredded or cubed, or taleggio"
16120,shredded or cubed
16121,"like calamata, pitted and chopped"
16122,"medium red, or 4 shallots, peeled and chopped"
16123,"or 5, ripe"
16124,"coarse sea or kosher, plus extra for sprinkling"
16125,"instant, such as saf-instant yeast"
16126,"all-purpose or bread, plus more as needed"
16127,freshly sliced french
16128,cut into 4 inch-long strips
16129,ripe local
16130,coarse like ciabatta
16131,"boiled, small, for serving"
16132,"peeled, finely choppe,d ripe"
16133,thoroughy cleaned and chopped
16134,"halves with bone, each cut in 2"
16135,barely chopped
16136,any size
16137,uncooked or regular cream of wheat cereal
16138,"like thai or jalapeno, seeded, stemmed and minced"
16139,"cleaned, cut into rings (tentacles left whole)"
16140,lingonberry or cranberry
16141,"short-grain, uncooked"
16142,"or other firm fish, about 2 pounds, gutted and scaled, with the head left on"
16143,"large ripe - peeled, seeded and chopped"
16144,fresh or frozen or black currant jam
